"","x"
"3001",1074206.77230863
"3002",412157.319983529
"3003",7092834.52908023
"3004",3859769.68596898
"3005",872631.932417274
"3006",2570088.47348081
"3007",1655020.32355364
"3008",32443693.345619
"3009",25520383.0213794
"3010",170133100.885182
"3011",384995.653503913
"3012",175491.084198578
"3013",5752244.42752109
"3014",256793.942712277
"3015",22614010.994895
"3016",151847.599587323
"3017",54850830.9122212
"3018",116189824.199905
"3019",19976670.1233248
"3020",384461386.528249
"3021",43416679.8637902
"3022",40813169.1027319
"3023",743607.547150741
"3024",15372054.4214351
"3025",754953.046436785
"3026",72763926.0713249
"3027",4637291.37564663
"3028",41849901.1305232
"3029",127523.699779549
"3030",30877519.084954
"3031",6656902.79390086
"3032",2226873.93229011
"3033",188972.914367829
"3034",47850.9100690085
"3035",423673.870038025
"3036",4725686.55561905
"3037",35628183.0806848
"3038",11583650.2285443
"3039",12987473.3723323
"3040",320635.819026718
"3041",22301941.0309048
"3042",1572193.38878194
"3043",3573558.77628011
"3044",2282497.02312825
"3045",401085283.983633
"3046",657481.678582872
"3047",2802064.26698391
"3048",15272217.4322878
"3049",13328382.2003295
"3050",21974726.4866777
"3051",107354.342714293
"3052",15346894.1177896
"3053",188657.278910913
"3054",182027.439957063
"3055",37509473.2350446
"3056",41189.3514384247
"3057",34705594.9615937
"3058",310371707.984966
"3059",120764.988374478
"3060",104501384.227856
"3061",27406374.6457441
"3062",6537044.17304053
"3063",40330274.7856351
"3064",21996977.5926164
"3065",23241088.4457673
"3066",67164314.5895331
"3067",1125382.67219094
"3068",37877258.1357827
"3069",205390110.028308
"3070",386110.028662225
"3071",3929753.35931541
"3072",344000708.344985
"3073",2365009.00588787
"3074",287128.940149237
"3075",26420133.9258861
"3076",128056736.317099
"3077",10966204.1375598
"3078",79892699.5924488
"3079",23051334.1653232
"3080",72578915.7395301
"3081",15682660.1421433
"3082",3726428.28129337
"3083",5186073.75517079
"3084",236706.545067029
"3085",3172928.86328046
"3086",43347684.5261244
"3087",497349.553281918
"3088",557971.736489609
"3089",102471.188785403
"3090",28335424.9005605
"3091",18587060.3457048
"3092",4706213.4838862
"3093",126854730.249359
"3094",112365070.726407
"3095",54113600.3735865
"3096",3471523.75275892
"3097",774988588.988853
"3098",7986557.70842439
"3099",59605623.1838561
"3100",1987761.90513857
"3101",6598414.24612832
"3102",383311.785726743
"3103",418721.780178385
"3104",510901.168503893
"3105",60788383.8477534
"3106",29322853.2930049
"3107",35484974.742836
"3108",4007699.92726847
"3109",7027758.86183085
"3110",440805521.409598
"3111",2353295.70403211
"3112",366653.339045993
"3113",3353793.94038961
"3114",11928886.0792929
"3115",11348599.6506043
"3116",5070787.08862075
"3117",184328.702044624
"3118",1153660.12372126
"3119",188082715.412787
"3120",76158961.2341287
"3121",321364.996341511
"3122",3475400.71902919
"3123",2425227.76802907
"3124",407667.03759319
"3125",40731.9435097843
"3126",42324263.665521
"3127",4158257.35140837
"3128",24583770.2156416
"3129",152697677.169952
"3130",10619056.3030992
"3131",1133053.76543628
"3132",3813129.93159257
"3133",847093.437653782
"3134",11104910.5723416
"3135",1659617.65583679
"3136",4261727.62751221
"3137",46563886.9153499
"3138",991312.978479474
"3139",25622749.1216241
"3140",77235873.9083541
"3141",11178254.6199438
"3142",1198568.48979907
"3143",85270573.187031
"3144",9604910.97723327
"3145",11463260.3023148
"3146",803476.509087694
"3147",9818019.89703857
"3148",1847775.20665898
"3149",23040007.6403872
"3150",54770794.8637528
"3151",4907578.47224886
"3152",5047179.30830821
"3153",716759.760521833
"3154",4872974.59830523
"3155",21144215.0403962
"3156",2998077.14166446
"3157",14888697.3613075
"3158",77590350.3460746
"3159",4533965.5900514
"3160",14528696.1451966
"3161",412880.456223394
"3162",1607691.74676639
"3163",62807317.639308
"3164",1713310.22618346
"3165",242642.829026909
"3166",66213.4524446252
"3167",43947750.5749789
"3168",471955.832375074
"3169",10247239.9437062
"3170",4759137.84897764
"3171",30208392.4181362
"3172",25649780.7520403
"3173",719607.203281023
"3174",509251.2488406
"3175",1024964.18556892
"3176",22985196.3777802
"3177",40673263.363676
"3178",1547538.9268807
"3179",5635817.1143392
"3180",658470.273732772
"3181",860527.168893647
"3182",116492289.320448
"3183",17628033.5606592
"3184",18943649.3993734
"3185",32200942.9113204
"3186",49583540.6827101
"3187",1186852.96422072
"3188",4440269.8949505
"3189",40824226.7746494
"3190",10527294.2633244
"3191",5696701.84007743
"3192",828183.671545512
"3193",117424986.472289
"3194",71801829.6543716
"3195",186016.938303108
"3196",2447454.33281955
"3197",6712706.15037819
"3198",115721094.851453
"3199",171822375.986989
"3200",6836440.0049707
"3201",1614802.9054041
"3202",2563882.07990631
"3203",1085205.72202773
"3204",1901181.56529288
"3205",348443.682717715
"3206",19164949.3369283
"3207",23852954.9883634
"3208",1170633.1565514
"3209",2014861.13104699
"3210",409210845.713589
"3211",350108.87979069
"3212",33937674.2119379
"3213",36902422.0546227
"3214",4015826.33700496
"3215",1590847.24586968
"3216",2401778.3065124
"3217",294894494.720601
"3218",698337.070903708
"3219",440408.200730194
"3220",91834373.2806687
"3221",2250571.93522418
"3222",398143.26753757
"3223",19576511.8835581
"3224",453675.684290925
"3225",3274653.7412834
"3226",2290782.25258761
"3227",43706300.932989
"3228",88434907.9936423
"3229",80274445.9188741
"3230",18079487.2852284
"3231",36359166.1859248
"3232",9127858.84186229
"3233",6342951.74720658
"3234",3678129.10322457
"3235",3614425.86129418
"3236",338775.854317627
"3237",12683286.8444011
"3238",1978859.07515087
"3239",277748.712770334
"3240",294576361.109989
"3241",646492.420799814
"3242",2597887.2502473
"3243",1043865.20975331
"3244",315672.481082823
"3245",1179534.35906502
"3246",21754705.6530129
"3247",12254077.4261793
"3248",48306124.6984453
"3249",24241147.3502033
"3250",253192370.201439
"3251",718997.068772574
"3252",9762202.74028599
"3253",41268059.8803717
"3254",570448.893673069
"3255",96336.258755909
"3256",16549758.2328161
"3257",5805702.72156737
"3258",9633995.83256383
"3259",21079132.2979979
"3260",1897034.10854847
"3261",304847952.88394
"3262",15814324.9231716
"3263",161035.572111773
"3264",36241.1864617806
"3265",70885.9115517288
"3266",181984.891709933
"3267",14787405.5251541
"3268",168953.996936991
"3269",25248892.2434729
"3270",82424426.3874432
"3271",738307.006841678
"3272",5462005.04941922
"3273",2189836.42409404
"3274",328383337.377196
"3275",6324262.47612791
"3276",1002889.34662531
"3277",4116437.28062943
"3278",29019036.8176027
"3279",11915658.0247965
"3280",211783916.335865
"3281",316100.292490901
"3282",1211103.10955815
"3283",327089794.720181
"3284",23653021.4383579
"3285",62497566.2494169
"3286",471342.999178265
"3287",3740132.88453182
"3288",5597367.29763577
"3289",18362912.341796
"3290",62997829.6368374
"3291",14598059.9263583
"3292",160970478.48385
"3293",19837105.5299659
"3294",3033845.15601397
"3295",4710603.65035939
"3296",137328.411900656
"3297",1699321.51757443
"3298",26024236.5279417
"3299",2731922.00949442
"3300",19412001.6526975
"3301",133041.887221682
"3302",1201292.24778025
"3303",1596642.02774049
"3304",9314308.4964704
"3305",30695774.1309005
"3306",326125.563535998
"3307",27309992.7968673
"3308",12080920.9616088
"3309",801253.425564099
"3310",1419588.92916752
"3311",1139445.65575632
"3312",583222.816868099
"3313",30972297.9153422
"3314",14325824.5745937
"3315",61633382.8626764
"3316",6909887.43493723
"3317",474146.870240802
"3318",88065.4510063845
"3319",3628685.26565893
"3320",13073968.1596955
"3321",3519256.72924772
"3322",3620902.37443949
"3323",69793375.7152401
"3324",2978669.32216496
"3325",56685121.0550454
"3326",152730592.979347
"3327",46514208.6161577
"3328",11576680.4604594
"3329",6039719.73070971
"3330",111535708.370449
"3331",389623.065558004
"3332",65124586.6240847
"3333",99356776.44405
"3334",693025.886154257
"3335",32275894.2042826
"3336",4167487.89066813
"3337",56975.456105273
"3338",14944560.3842137
"3339",647797.995400733
"3340",71171958.6141109
"3341",3781351.09262744
"3342",32011150.3453464
"3343",34180485.7835727
"3344",479742.271600297
"3345",1167049.89231734
"3346",15003536.5173394
"3347",189209.191159712
"3348",22922509.0369117
"3349",72802338.533929
"3350",168810902.559249
"3351",19992394.2737336
"3352",603967.754849822
"3353",51743230.1342769
"3354",2026248.55139303
"3355",2326391.59680655
"3356",11225522.5382134
"3357",987654.171398193
"3358",6504577.06035062
"3359",22386179.0588584
"3360",11484371.0336934
"3361",58075630.4282338
"3362",5610135.09847294
"3363",1530793.74017318
"3364",9750551.9892208
"3365",636340.407937238
"3366",48915414.3355186
"3367",109374111.065179
"3368",686772.991120613
"3369",28388110.6921102
"3370",25508254.5438831
"3371",37905907.170353
"3372",17023754.4390165
"3373",63263547.5106787
"3374",6462948.85314776
"3375",36497328.9643537
"3376",19406877.6614081
"3377",1927044.59487104
"3378",4930475.04296054
"3379",112831067.146943
"3380",38726583.850477
"3381",977506.392787972
"3382",899683.259783106
"3383",1603439.57543238
"3384",15250002.9819528
"3385",49468960.866272
"3386",247383.062737272
